Date,Price,Open,High,Low,Volume,Change %,Vol.
8/29/2023,0.002328,0.002286,0.002381,0.002277,140400000,1.84%,140.40M
8/30/2023,0.002286,0.002463,0.002466,0.002254,153630000,-7.15%,153.63M
8/31/2023,0.002462,0.002458,0.002482,0.002421,185490000,0.15%,185.49M
9/1/2023,0.002458,0.002635,0.002643,0.002437,187340000,-6.72%,187.34M
9/2/2023,0.002635,0.002649,0.002669,0.002629,175640000,-0.53%,175.64M
9/3/2023,0.002649,0.002655,0.002683,0.002624,132820000,-0.21%,132.82M
9/4/2023,0.002655,0.002636,0.002663,0.002578,139870000,0.70%,139.87M
9/5/2023,0.002636,0.002614,0.002659,0.002561,141920000,0.85%,141.92M
9/6/2023,0.002614,0.002688,0.002702,0.002593,103310000,-2.76%,103.31M
9/7/2023,0.002688,0.002655,0.002746,0.002598,128930000,1.27%,128.93M
9/8/2023,0.002655,0.002735,0.002767,0.002632,172630000,-2.93%,172.63M
9/9/2023,0.002735,0.002536,0.002742,0.0025,139800000,7.85%,139.80M
9/10/2023,0.002536,0.002543,0.002556,0.002503,106360000,-0.29%,106.36M
9/11/2023,0.002543,0.002415,0.002562,0.002395,197760000,5.35%,197.76M
9/12/2023,0.002414,0.002314,0.002456,0.002279,154470000,4.03%,154.47M
9/13/2023,0.002321,0.002469,0.002483,0.002309,197700000,-5.99%,197.70M
9/14/2023,0.002468,0.00245,0.002477,0.002409,169240000,0.74%,169.24M
9/15/2023,0.00245,0.002539,0.002565,0.002446,202350000,-3.51%,202.35M
9/16/2023,0.002539,0.002509,0.002595,0.002479,203740000,1.25%,203.74M
9/17/2023,0.002508,0.002654,0.002656,0.002311,215270000,-5.50%,215.27M
9/18/2023,0.002654,0.002607,0.002721,0.002587,168580000,1.83%,168.58M
9/19/2023,0.002606,0.002982,0.002989,0.002592,244670000,-12.58%,244.67M
9/20/2023,0.002982,0.002993,0.003035,0.002966,173420000,-0.37%,173.42M
9/21/2023,0.002993,0.003017,0.00303,0.002936,117770000,-0.81%,117.77M
9/22/2023,0.003017,0.003002,0.00306,0.002983,155510000,0.79%,155.51M
9/23/2023,0.002993,0.002887,0.003046,0.002844,165580000,3.69%,165.58M
9/24/2023,0.002887,0.002904,0.002916,0.002849,151630000,-0.70%,151.63M
9/25/2023,0.002907,0.00287,0.002936,0.002843,174440000,1.29%,174.44M
9/26/2023,0.00287,0.002968,0.002974,0.002853,156680000,-3.29%,156.68M
9/27/2023,0.002968,0.002792,0.002996,0.002758,183900000,6.29%,183.90M
9/28/2023,0.002792,0.003096,0.003116,0.002721,164750000,-9.68%,164.75M
9/29/2023,0.003091,0.003235,0.003265,0.003069,146340000,-4.44%,146.34M
9/30/2023,0.003235,0.003132,0.003261,0.003098,166950000,3.15%,166.95M
10/1/2023,0.003136,0.003572,0.003572,0.003097,234120000,-12.20%,234.12M
10/2/2023,0.003572,0.003662,0.00369,0.003571,133660000,-2.50%,133.66M
10/3/2023,0.003664,0.003714,0.003736,0.003617,141230000,-1.35%,141.23M
10/4/2023,0.003714,0.003727,0.00382,0.003701,154070000,-0.36%,154.07M
10/5/2023,0.003727,0.003629,0.003761,0.003623,206380000,2.73%,206.38M
10/6/2023,0.003628,0.003542,0.003688,0.003522,165140000,2.45%,165.14M
10/7/2023,0.003542,0.003689,0.00371,0.003455,220810000,-4.01%,220.81M
10/8/2023,0.003689,0.003583,0.003752,0.00355,297800000,2.97%,297.80M
10/9/2023,0.003583,0.003441,0.003695,0.003412,207560000,4.14%,207.56M
10/10/2023,0.003441,0.003431,0.00352,0.00332,197280000,0.25%,197.28M
10/11/2023,0.003432,0.0034,0.003498,0.003366,162130000,1.07%,162.13M
10/12/2023,0.003396,0.003461,0.003523,0.002447,122080000,-1.88%,122.08M
10/13/2023,0.003461,0.003219,0.003511,0.003169,235110000,7.50%,235.11M
10/14/2023,0.003219,0.00341,0.003435,0.003198,205920000,-5.59%,205.92M
10/15/2023,0.00341,0.003469,0.003493,0.00338,171790000,-1.73%,171.79M
10/16/2023,0.00347,0.003505,0.003576,0.003451,173970000,-0.88%,173.97M
10/17/2023,0.0035,0.003568,0.003613,0.003475,207720000,-1.89%,207.72M
10/18/2023,0.003568,0.003437,0.003584,0.003306,248360000,3.81%,248.36M
10/19/2023,0.003437,0.003869,0.003896,0.003353,253060000,-11.29%,253.06M
10/20/2023,0.003874,0.004217,0.004241,0.003856,195920000,-8.13%,195.92M
10/21/2023,0.004217,0.004359,0.004369,0.004215,183540000,-3.25%,183.54M
10/22/2023,0.004359,0.004233,0.004382,0.004196,186200000,2.96%,186.20M
10/23/2023,0.004233,0.004242,0.004302,0.00418,145740000,-0.20%,145.74M
10/24/2023,0.004242,0.004189,0.004279,0.004074,154140000,1.26%,154.14M
10/25/2023,0.004189,0.004376,0.004475,0.004187,162580000,-4.32%,162.58M
10/26/2023,0.004378,0.004529,0.004535,0.004283,156980000,-3.40%,156.98M
10/27/2023,0.004532,0.004444,0.004746,0.004429,204500000,1.89%,204.50M
10/28/2023,0.004448,0.004472,0.004569,0.004259,153250000,-0.55%,153.25M
10/29/2023,0.004472,0.004341,0.004569,0.004219,162500000,4.64%,162.50M
10/30/2023,0.004274,0.004247,0.004437,0.004022,213030000,0.63%,213.03M
10/31/2023,0.004247,0.004791,0.004793,0.004152,240560000,-11.35%,240.56M
11/1/2023,0.004791,0.005023,0.00514,0.004791,161140000,-4.62%,161.14M
11/2/2023,0.005023,0.005255,0.005265,0.004938,205850000,-4.41%,205.85M
11/3/2023,0.005255,0.004968,0.005364,0.004932,290420000,5.65%,290.42M
11/4/2023,0.004974,0.004939,0.005018,0.004662,275800000,0.71%,275.80M
11/5/2023,0.004939,0.005232,0.005241,0.004846,291920000,-5.59%,291.92M
11/6/2023,0.005232,0.005248,0.005344,0.005136,277990000,-0.32%,277.99M
11/7/2023,0.005248,0.005489,0.005489,0.005201,272800000,-4.38%,272.80M
11/8/2023,0.005489,0.005332,0.005545,0.005274,355680000,2.96%,355.68M
11/9/2023,0.005331,0.005119,0.005345,0.005097,319460000,4.20%,319.46M
11/10/2023,0.005116,0.005232,0.005253,0.004982,270390000,-2.22%,270.39M
